Province_State,Country_Region,Lat,Long_,Confirmed,Deaths,Recovered
Pennsylvania,US,40.91152759,-79.91351055,199,6,0
California,US,39.66727762,-121.6005252,22,0,0
South Dakota,US,44.90608745,-103.5079318,0,0,0
Georgia,US,33.2830945,-83.9543504,196,17,0
North Carolina,US,35.3877799,-80.55267168,371,20,0
West Virginia,US,38.42424062,-82.23855912,53,0,0
Louisiana,US,32.57991587,-93.88375652,1818,143,0
Oklahoma,US,35.17364557,-98.37534464,110,9,0
California,US,38.20537103,-120.552913,13,0,0
Louisiana,US,30.22931235,-93.35400434,507,40,0
Kentucky,US,37.14749129,-87.86948214,12,0,0
Louisiana,US,32.0902519,-92.11752148,48,0,0
Missouri,US,39.65620858,-93.98308093,3,0,0
North Carolina,US,35.95204977,-81.54799522,75,1,0
Texas,US,29.83668859,-97.61814775,33,0,0
Vermont,US,44.46548598,-72.10314651,14,0,0
Alabama,US,33.77483727,-85.82630386,128,3,0
Florida,US,30.40666734,-85.19394153,33,1,0
Georgia,US,31.53169785,-84.62725131,117,5,0
Illinois,US,39.16840183,-90.66330078,1,0,0
Iowa,US,42.38521079,-94.64046046,1,0,0
Michigan,US,42.24633834,-85.00493569,286,18,0
Mississippi,US,33.93683395,-89.33686647,58,4,0
South Carolina,US,33.66926881,-80.77722168,9,1,0
Texas,US,28.47048236,-96.61633945,36,3,0
Texas,US,32.29760619,-99.37326312,8,1,0
Missouri,US,38.83674754,-91.92186505,23,1,0
Kentucky,US,36.62093411,-88.2731593,43,1,0
Wisconsin,US,44.0816316,-88.21780273,46,1,0
Maryland,US,38.53961642,-76.56820632,225,13,0
Idaho,US,43.46665742,-114.8065892,1,0,0
Pennsylvania,US,40.49527404,-78.71377428,45,1,0
Georgia,US,30.92951916,-81.66601818,46,1,0
Missouri,US,38.02199522,-92.76083747,36,1,0
New Jersey,US,39.80343818,-74.96388753,5172,256,0
North Carolina,US,36.33804939,-76.15568396,2,0,0
Louisiana,US,29.87592238,-93.19310676,3,0,0
Pennsylvania,US,41.43625568,-78.20376845,2,0,0
Texas,US,26.14524221,-97.48140372,569,25,0
Texas,US,32.97195142,-94.97790104,13,0,0
Kentucky,US,38.94384345,-84.37875208,128,9,0
Tennessee,US,36.40355516,-84.1510856,17,1,0
Virginia,US,37.20553386,-79.09678609,13,1,0
Wyoming,US,44.24886082,-105.5474404,29,0,0
Oklahoma,US,35.5426055,-97.98465569,116,3,0
Georgia,US,32.40209349,-82.07702563,10,0,0
Tennessee,US,35.80990797,-86.05738983,13,0,0
Idaho,US,43.61970148,-116.7095499,276,6,0
Missouri,US,37.38489388,-89.6843587,52,1,0
New Jersey,US,39.15008829,-74.80170244,483,39,0
Montana,US,45.22850116,-109.0274047,6,0,0
Pennsylvania,US,40.91545395,-75.7068525,206,17,0
Wyoming,US,41.69357844,-106.9326084,7,0,0
Idaho,US,42.77149116,-111.5597683,1,0,0
Kentucky,US,36.85372876,-88.9669222,3,1,0
Minnesota,US,46.59180601,-92.67601019,66,0,0
Maryland,US,38.87172293,-75.82904158,183,0,0
Virginia,US,38.02679129,-77.34901405,41,2,0
Arkansas,US,36.3403856,-93.54270261,6,0,0
Georgia,US,33.58138199,-85.07976677,400,19,0
Illinois,US,42.06823429,-89.93395545,12,2,0
Indiana,US,40.5807832,-86.56198812,75,2,0
Iowa,US,42.03617207,-94.86032705,8,0,0
Kentucky,US,38.66599534,-85.12601074,2,0,0
Maryland,US,39.56453592,-77.02373735,619,62,0
Mississippi,US,33.44834567,-89.91994479,106,4,0
Missouri,US,39.42762566,-93.50626255,4,0,0
New Hampshire,US,43.87498583,-71.20430216,39,0,0
Ohio,US,40.5789686,-81.09178213,24,2,0
Tennessee,US,35.97366108,-88.45189331,23,1,0
Virginia,US,36.73066666,-80.73455942,40,0,0
Texas,US,35.40365929,-101.3542669,3,0,0
Nevada,US,39.15509045,-119.7480219,63,2,0
Kentucky,US,38.31690743,-83.05092385,7,0,0
Missouri,US,36.94160441,-90.96051322,3,1,0
Oklahoma,US,34.25103751,-97.28552485,7,1,0
Tennessee,US,36.28969086,-82.12588974,19,1,0
North Carolina,US,34.8932941,-76.54120135,36,3,0
Minnesota,US,44.82017001,-93.8009918,103,1,0
Montana,US,47.30797024,-111.3467922,17,2,0
Kentucky,US,37.32533118,-84.92726209,2,0,0
Illinois,US,39.96991073,-90.24734436,66,0,0
Indiana,US,40.76135835,-86.34830753,1546,4,0
Iowa,US,41.33149454,-94.92792482,1,0,0
Michigan,US,41.91522292,-85.99405727,46,2,0
Minnesota,US,46.95043611,-94.32603968,9,2,0
Missouri,US,38.64789422,-94.353399,71,8,0
Nebraska,US,40.90899107,-96.13971217,15,0,0
North Dakota,US,46.93201724,-97.2444719,991,25,0
Texas,US,33.07499881,-94.34646905,21,0,0
Idaho,US,42.28347888,-113.6012409,16,1,0
Texas,US,34.53016752,-102.2617243,25,1,0
North Carolina,US,36.39312665,-79.33353281,42,1,0
Louisiana,US,31.66778967,-91.84526385,103,3,0
North Carolina,US,35.66211129,-81.2132617,96,2,0
Georgia,US,34.89872298,-85.13757014,70,0,0
New Mexico,US,33.91514144,-108.4046587,2,1,0
New York,US,42.24778241,-78.67923096,64,0,0
New York,US,42.91261714,-76.55731592,60,1,0
Maryland,US,39.56647682,-75.94627411,291,17,0
Iowa,US,41.77233777,-91.13246684,43,1,0
Missouri,US,37.72391475,-93.85445441,9,0,0
Nebraska,US,42.5988851,-97.25311951,6,0,0
Utah,US,39.37231946,-111.5758676,29,0,0
Pennsylvania,US,40.92058903,-77.82200624,128,6,0
Iowa,US,43.08177563,-93.2612239,15,0,0
Colorado,US,38.74745778,-106.1926573,69,17,0
Alabama,US,32.91360079,-85.39072749,326,22,0
Texas,US,29.70972016,-94.67154501,50,0,0
Illinois,US,40.13919438,-88.20046615,324,6,0
Ohio,US,40.13923427,-83.76875242,20,1,0
Missouri,US,39.51499357,-92.9629191,6,0,0
Maryland,US,38.51092331,-76.98580666,796,59,0
Virginia,US,37.35358063,-77.05634116,21,1,0
South Dakota,US,43.20660134,-98.58856175,7,0,0
South Carolina,US,32.82487866,-79.96512315,491,10,0
Michigan,US,45.37790017,-85.19614053,13,1,0
Florida,US,26.90131002,-81.92949121,357,38,0
Virginia,US,37.01909701,-78.66314092,11,0,0
Virginia,US,38.03527919,-78.48569588,68,2,0
Georgia,US,30.78371028,-82.13951596,20,1,0
Kansas,US,38.30292938,-96.59563862,3,0,0
Georgia,US,32.00043026,-81.12489526,344,14,0
North Carolina,US,35.70394416,-79.25541492,490,11,0
Georgia,US,32.34341231,-84.78809239,17,0,0
Georgia,US,34.47197698,-85.34535662,16,2,0
Kansas,US,37.14994405,-96.2454192,4,0,0
New York,US,42.2276921,-79.36691763,44,4,0
New Mexico,US,33.36406072,-104.4665365,30,2,0
Tennessee,US,36.26136216,-87.08903581,85,0,0
Michigan,US,45.44787015,-84.50122149,19,1,0
Washington,US,47.87046092,-120.6173956,163,6,0
New York,US,42.13891056,-76.7638805,132,1,0
New York,US,42.49430041,-75.60887553,112,0,0
Alabama,US,34.17805983,-85.60638968,25,0,0
Georgia,US,34.24393976,-84.47431861,676,21,0
Iowa,US,42.73538914,-95.62389402,6,0,0
Kansas,US,37.16928494,-94.8462897,8,0,0
North Carolina,US,35.1349263,-84.05970864,27,1,0
Oklahoma,US,35.90692775,-94.99980896,29,1,0
South Carolina,US,35.05122251,-81.61828622,22,0,0
Texas,US,31.837258,-95.16559897,27,1,0
Nebraska,US,42.54502621,-101.1244332,1,0,0
Virginia,US,36.67670048,-76.30545744,362,9,0
New Hampshire,US,42.92015988,-72.25311043,45,2,0
Pennsylvania,US,39.97291773,-75.74768357,2008,213,0
South Carolina,US,34.69249168,-81.1583216,39,0,0
Tennessee,US,35.42527478,-88.6095842,12,0,0
South Carolina,US,34.64137396,-80.1564014,90,1,0
Virginia,US,37.37373208,-77.5868014,909,29,0
Colorado,US,38.82777431,-102.6032558,5,0,0
Kansas,US,39.78580976,-101.7318201,2,0,0
Nebraska,US,41.21999357,-102.9941693,8,0,0
Iowa,US,43.06001295,-92.31773347,7,0,0
Mississippi,US,33.91983202,-88.9481545,110,10,0
Arkansas,US,33.26458973,-91.29539209,10,0,0
Texas,US,34.5293041,-100.2077916,2,0,0
Alabama,US,32.85044126,-86.7173256,74,1,0
Michigan,US,46.29552653,-84.54353449,2,0,0
Minnesota,US,45.02343421,-95.56403693,27,0,0
Wisconsin,US,45.06939744,-91.28068855,33,0,0
Minnesota,US,45.5021011,-92.90861945,25,1,0
Vermont,US,44.46322849,-73.08359212,432,37,0
Alabama,US,32.02227341,-88.2656443,77,3,0
Mississippi,US,33.34598242,-89.24809382,18,2,0
Oklahoma,US,34.02807439,-95.54771129,3,0,0
North Carolina,US,36.12908077,-76.60118385,12,0,0
Illinois,US,39.54581621,-89.27780482,30,4,0
Kentucky,US,36.89267803,-87.49055367,95,3,0
Missouri,US,36.9711783,-93.18537118,21,0,0
Nevada,US,39.58105744,-118.3394607,5,0,0
New Mexico,US,34.91131525,-107.998876,100,4,0
Oklahoma,US,36.74817177,-102.5173885,1,0,0
Florida,US,28.84804315,-82.47614748,109,11,0
Oregon,US,45.18787398,-122.2179634,271,9,0
Louisiana,US,32.82308512,-92.99526883,59,10,0
Mississippi,US,31.97061673,-90.90702196,48,0,0
Tennessee,US,36.48319149,-83.65947309,7,0,0
Washington,US,48.04754642,-123.9226319,19,0,0
Michigan,US,43.98794227,-84.8481986,14,2,0
South Carolina,US,33.66610974,-80.21647898,266,31,0
Pennsylvania,US,41.19265812,-79.42413524,24,1,0
Arkansas,US,34.04613432,-93.17484713,35,0,0
Illinois,US,39.33425789,-87.78705622,9,0,0
Indiana,US,38.48015445,-85.70510334,395,27,0
Kansas,US,37.23577007,-99.81883015,19,1,0
Kentucky,US,37.9689263,-84.14615986,20,0,0
Missouri,US,40.41040752,-91.73661677,1,0,0
Nevada,US,36.21458855,-115.0130241,5045,275,0
Ohio,US,39.91592258,-83.78498252,122,3,0
South Dakota,US,44.85834507,-97.72925109,4,0,0
Washington,US,45.77568046,-122.4829204,380,22,0
Wisconsin,US,44.73483377,-90.61207486,25,4,0
Alabama,US,31.68099859,-87.83548597,68,2,0
Georgia,US,33.95436462,-83.37124007,192,13,0
Iowa,US,41.02868181,-93.78499767,11,0,0
Mississippi,US,32.04158545,-88.6889622,97,11,0
Virginia,US,39.11271747,-77.99199425,16,0,0
Oregon,US,45.99712889,-123.660711,36,0,0
Alabama,US,33.26984193,-85.85836077,27,2,0
Arkansas,US,36.36826212,-90.4148172,3,0,0
Florida,US,29.98319144,-81.85609986,306,22,0
Georgia,US,31.62221166,-84.97713865,28,3,0
Illinois,US,38.75388572,-88.48914513,2,0,0
Indiana,US,39.39561833,-87.11723506,26,1,0
Iowa,US,43.08247182,-95.15096481,9,0,0
Kansas,US,39.34948772,-97.16518128,4,1,0
Kentucky,US,37.16451126,-83.712575,2,0,0
Minnesota,US,46.89289518,-96.48761922,273,18,0
Mississippi,US,33.65358105,-88.77784255,75,3,0
Missouri,US,39.31132056,-94.41850862,105,1,0
Nebraska,US,40.52439441,-98.05126296,14,0,0
North Carolina,US,35.05704275,-83.74353633,8,0,0
South Dakota,US,42.91296147,-96.97656917,11,0,0
Tennessee,US,36.55151008,-85.53930419,6,0,0
Texas,US,33.78686685,-98.20771198,3,0,0
West Virginia,US,38.46231092,-81.07652217,2,0,0
Georgia,US,33.54187245,-84.35594188,983,36,0
Iowa,US,42.84443388,-91.34133693,28,3,0
Colorado,US,39.68864463,-105.6463118,15,1,0
Pennsylvania,US,41.00110782,-78.47592663,33,0,0
Minnesota,US,47.57992111,-95.37790562,2,0,0
